danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,eventtype
0.684,0.84,1,-3.147,1,0.107,0.211,0.000223,0.155,0.744,145.905,audio_features,2eghogEKiH7hM70GYkF1XD,spotify:track:2eghogEKiH7hM70GYkF1XD,https://api.spotify.com/v1/tracks/2eghogEKiH7hM70GYkF1XD,https://api.spotify.com/v1/audio-analysis/2eghogEKiH7hM70GYkF1XD,144227,4,club
0.381,0.636,7,-8.474,0,0.0512,0.228,0,0.0768,0.0657,134.064,audio_features,12q1eia1A50DgBkuJ9bynT,spotify:track:12q1eia1A50DgBkuJ9bynT,https://api.spotify.com/v1/tracks/12q1eia1A50DgBkuJ9bynT,https://api.spotify.com/v1/audio-analysis/12q1eia1A50DgBkuJ9bynT,250000,4,club
0.925,0.429,10,-7.663,0,0.122,0.0795,0.000256,0.0815,0.319,96.002,audio_features,63p3Slj0shAFP0Q7dQetj5,spotify:track:63p3Slj0shAFP0Q7dQetj5,https://api.spotify.com/v1/tracks/63p3Slj0shAFP0Q7dQetj5,https://api.spotify.com/v1/audio-analysis/63p3Slj0shAFP0Q7dQetj5,268480,4,club
0.698,0.547,9,-5.21,1,0.33,0.3,0.0000634,0.328,0.404,93.003,audio_features,3RKblQNJs8HPvWBgXmq6nn,spotify:track:3RKblQNJs8HPvWBgXmq6nn,https://api.spotify.com/v1/tracks/3RKblQNJs8HPvWBgXmq6nn,https://api.spotify.com/v1/audio-analysis/3RKblQNJs8HPvWBgXmq6nn,178040,4,club
0.901,0.292,2,-7.74,1,0.289,0.0978,0,0.0816,0.338,100.54,audio_features,3lSR267IJfT54p0Gfuw7mi,spotify:track:3lSR267IJfT54p0Gfuw7mi,https://api.spotify.com/v1/tracks/3lSR267IJfT54p0Gfuw7mi,https://api.spotify.com/v1/audio-analysis/3lSR267IJfT54p0Gfuw7mi,190595,4,club
0.846,0.45,11,-4.597,1,0.133,0.198,0.000117,0.0939,0.49,85.024,audio_features,1yJ6tI74mgdRlyfMigZ9my,spotify:track:1yJ6tI74mgdRlyfMigZ9my,https://api.spotify.com/v1/tracks/1yJ6tI74mgdRlyfMigZ9my,https://api.spotify.com/v1/audio-analysis/1yJ6tI74mgdRlyfMigZ9my,237480,4,club
0.841,0.631,1,-8.755,1,0.241,0.0196,0,0.323,0.328,95.075,audio_features,0a8uknDuoiWLuACnaLPlgr,spotify:track:0a8uknDuoiWLuACnaLPlgr,https://api.spotify.com/v1/tracks/0a8uknDuoiWLuACnaLPlgr,https://api.spotify.com/v1/audio-analysis/0a8uknDuoiWLuACnaLPlgr,213467,4,club
0.905,0.753,10,-3.613,0,0.164,0.0937,0,0.0438,0.747,96.05,audio_features,163ExVYtJrtdE86Qd5Fw2N,spotify:track:163ExVYtJrtdE86Qd5Fw2N,https://api.spotify.com/v1/tracks/163ExVYtJrtdE86Qd5Fw2N,https://api.spotify.com/v1/audio-analysis/163ExVYtJrtdE86Qd5Fw2N,213107,4,club
0.51,0.664,11,-4.942,0,0.306,0.0427,0,0.782,0.441,132.061,audio_features,5VKsvhjnjQ3IAspPjGiNPf,spotify:track:5VKsvhjnjQ3IAspPjGiNPf,https://api.spotify.com/v1/tracks/5VKsvhjnjQ3IAspPjGiNPf,https://api.spotify.com/v1/audio-analysis/5VKsvhjnjQ3IAspPjGiNPf,260453,5,club
0.886,0.474,1,-8.045,0,0.274,0.0216,0,0.088,0.825,150.068,audio_features,61ehOd7NByNLD1C5AcQhEb,spotify:track:61ehOd7NByNLD1C5AcQhEb,https://api.spotify.com/v1/tracks/61ehOd7NByNLD1C5AcQhEb,https://api.spotify.com/v1/audio-analysis/61ehOd7NByNLD1C5AcQhEb,217893,4,club
0.81,0.843,8,-6.298,1,0.117,0.107,0,0.288,0.864,124.916,audio_features,3RBkgEPmD0xrNp3THR6T9e,spotify:track:3RBkgEPmD0xrNp3THR6T9e,https://api.spotify.com/v1/tracks/3RBkgEPmD0xrNp3THR6T9e,https://api.spotify.com/v1/audio-analysis/3RBkgEPmD0xrNp3THR6T9e,256053,4,club
0.717,0.548,9,-7.757,1,0.267,0.00138,0,0.367,0.478,91.979,audio_features,31VM9uxtem39xmT0dfDiSU,spotify:track:31VM9uxtem39xmT0dfDiSU,https://api.spotify.com/v1/tracks/31VM9uxtem39xmT0dfDiSU,https://api.spotify.com/v1/audio-analysis/31VM9uxtem39xmT0dfDiSU,233680,4,club
0.451,0.632,8,-7.98,0,0.297,0.0114,0,0.198,0.234,132.89,audio_features,3m8CQnnfJJp4eQMWWl3zay,spotify:track:3m8CQnnfJJp4eQMWWl3zay,https://api.spotify.com/v1/tracks/3m8CQnnfJJp4eQMWWl3zay,https://api.spotify.com/v1/audio-analysis/3m8CQnnfJJp4eQMWWl3zay,232160,4,club
0.586,0.632,7,-8.844,0,0.19,0.132,0,0.118,0.353,140.013,audio_features,0rSVWYKiBkirydeEyFevAn,spotify:track:0rSVWYKiBkirydeEyFevAn,https://api.spotify.com/v1/tracks/0rSVWYKiBkirydeEyFevAn,https://api.spotify.com/v1/audio-analysis/0rSVWYKiBkirydeEyFevAn,206627,4,club
0.931,0.327,1,-11.012,1,0.37,0.0582,0.00000426,0.177,0.248,98.964,audio_features,7LBohG6plAhWaHjuzi4CpY,spotify:track:7LBohG6plAhWaHjuzi4CpY,https://api.spotify.com/v1/tracks/7LBohG6plAhWaHjuzi4CpY,https://api.spotify.com/v1/audio-analysis/7LBohG6plAhWaHjuzi4CpY,208840,4,club
0.782,0.676,1,-6.144,1,0.324,0.00786,0.00000117,0.141,0.878,158.162,audio_features,4gdx3sBwgfZTZAqxKzQVTA,spotify:track:4gdx3sBwgfZTZAqxKzQVTA,https://api.spotify.com/v1/tracks/4gdx3sBwgfZTZAqxKzQVTA,https://api.spotify.com/v1/audio-analysis/4gdx3sBwgfZTZAqxKzQVTA,235733,4,club
0.835,0.757,8,-5.029,0,0.23,0.00647,0,0.29,0.626,82.038,audio_features,6o3s08kk2fQI37vxGZDrJ1,spotify:track:6o3s08kk2fQI37vxGZDrJ1,https://api.spotify.com/v1/tracks/6o3s08kk2fQI37vxGZDrJ1,https://api.spotify.com/v1/audio-analysis/6o3s08kk2fQI37vxGZDrJ1,274387,4,club
0.93,0.781,2,-4.114,1,0.0697,0.114,0,0.116,0.553,98.013,audio_features,45Ry9ZjzPQEFzlhJfae1V8,spotify:track:45Ry9ZjzPQEFzlhJfae1V8,https://api.spotify.com/v1/tracks/45Ry9ZjzPQEFzlhJfae1V8,https://api.spotify.com/v1/audio-analysis/45Ry9ZjzPQEFzlhJfae1V8,216240,4,club
0.872,0.719,2,-8.663,1,0.235,0.0121,0.00000101,0.246,0.32,101.967,audio_features,1N4jhCFeE0hrZGYfpJsSAF,spotify:track:1N4jhCFeE0hrZGYfpJsSAF,https://api.spotify.com/v1/tracks/1N4jhCFeE0hrZGYfpJsSAF,https://api.spotify.com/v1/audio-analysis/1N4jhCFeE0hrZGYfpJsSAF,200803,4,club
0.822,0.711,11,-6.741,0,0.275,0.0283,0.00129,0.236,0.681,79.949,audio_features,3OVLPcUPS0HbMeAeMP0jZ4,spotify:track:3OVLPcUPS0HbMeAeMP0jZ4,https://api.spotify.com/v1/tracks/3OVLPcUPS0HbMeAeMP0jZ4,https://api.spotify.com/v1/audio-analysis/3OVLPcUPS0HbMeAeMP0jZ4,220347,4,club
0.881,0.975,8,-1.43,1,0.297,0.266,0,0.0619,0.715,99.996,audio_features,51rUNj1LPgql14xFllsSLM,spotify:track:51rUNj1LPgql14xFllsSLM,https://api.spotify.com/v1/tracks/51rUNj1LPgql14xFllsSLM,https://api.spotify.com/v1/audio-analysis/51rUNj1LPgql14xFllsSLM,252213,4,club
0.855,0.746,3,-3.777,0,0.232,0.402,0,0.146,0.375,95.026,audio_features,6JLcz9UGiVxAmEZXlCucn5,spotify:track:6JLcz9UGiVxAmEZXlCucn5,https://api.spotify.com/v1/tracks/6JLcz9UGiVxAmEZXlCucn5,https://api.spotify.com/v1/audio-analysis/6JLcz9UGiVxAmEZXlCucn5,321987,4,club
0.575,0.591,10,-5.519,0,0.235,0.0128,0,0.0567,0.392,171.823,audio_features,5W7xC99N2Zzfh69r7I7zWK,spotify:track:5W7xC99N2Zzfh69r7I7zWK,https://api.spotify.com/v1/tracks/5W7xC99N2Zzfh69r7I7zWK,https://api.spotify.com/v1/audio-analysis/5W7xC99N2Zzfh69r7I7zWK,270627,4,club
0.748,0.586,1,-2.554,1,0.0512,0.0581,0,0.156,0.161,140.067,audio_features,5qkWTBmDmZjogwIvbKtJQv,spotify:track:5qkWTBmDmZjogwIvbKtJQv,https://api.spotify.com/v1/tracks/5qkWTBmDmZjogwIvbKtJQv,https://api.spotify.com/v1/audio-analysis/5qkWTBmDmZjogwIvbKtJQv,306600,4,club
0.634,0.692,1,-5.646,0,0.0997,0.00586,0.000116,0.0726,0.0839,140.029,audio_features,0ekII9O2RfHOivSRY9Bn1U,spotify:track:0ekII9O2RfHOivSRY9Bn1U,https://api.spotify.com/v1/tracks/0ekII9O2RfHOivSRY9Bn1U,https://api.spotify.com/v1/audio-analysis/0ekII9O2RfHOivSRY9Bn1U,236931,4,club
0.821,0.789,1,-5.998,1,0.209,0.0199,0.00114,0.0943,0.66,150.027,audio_features,4It00tEYLwpjQtAhqnjCPC,spotify:track:4It00tEYLwpjQtAhqnjCPC,https://api.spotify.com/v1/tracks/4It00tEYLwpjQtAhqnjCPC,https://api.spotify.com/v1/audio-analysis/4It00tEYLwpjQtAhqnjCPC,268493,4,club
0.881,0.622,1,-4.149,1,0.215,0.187,0,0.103,0.633,91.989,audio_features,2NBQmPrOEEjA8VbeWOQGxO,spotify:track:2NBQmPrOEEjA8VbeWOQGxO,https://api.spotify.com/v1/tracks/2NBQmPrOEEjA8VbeWOQGxO,https://api.spotify.com/v1/audio-analysis/2NBQmPrOEEjA8VbeWOQGxO,266067,4,club
0.675,0.545,7,-5.614,0,0.0443,0.261,0,0.162,0.445,60.048,audio_features,4NpDZPwSXmL0cCTaJuVrCw,spotify:track:4NpDZPwSXmL0cCTaJuVrCw,https://api.spotify.com/v1/tracks/4NpDZPwSXmL0cCTaJuVrCw,https://api.spotify.com/v1/audio-analysis/4NpDZPwSXmL0cCTaJuVrCw,226507,4,club
0.764,0.694,11,-5.745,0,0.189,0.0439,0.00000367,0.18,0.581,146.075,audio_features,7EKTo6rVJ3XSS7QTd6ep2j,spotify:track:7EKTo6rVJ3XSS7QTd6ep2j,https://api.spotify.com/v1/tracks/7EKTo6rVJ3XSS7QTd6ep2j,https://api.spotify.com/v1/audio-analysis/7EKTo6rVJ3XSS7QTd6ep2j,223933,4,club
0.925,0.748,11,-5.572,0,0.278,0.0484,0,0.101,0.615,92.978,audio_features,2lVDc57IMK6nypg2iuEWVR,spotify:track:2lVDc57IMK6nypg2iuEWVR,https://api.spotify.com/v1/tracks/2lVDc57IMK6nypg2iuEWVR,https://api.spotify.com/v1/audio-analysis/2lVDc57IMK6nypg2iuEWVR,243027,4,club
0.732,0.724,0,-2.104,1,0.101,0.511,0,0.0491,0.808,140.13,audio_features,66TRwr5uJwPt15mfFkzhbi,spotify:track:66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/tracks/66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/audio-analysis/66TRwr5uJwPt15mfFkzhbi,221933,4,club
0.507,0.729,11,-5.399,0,0.0393,0.0182,0.0000014,0.0658,0.272,105.013,audio_features,4LiZFhponIS7BTvw8WsYRJ,spotify:track:4LiZFhponIS7BTvw8WsYRJ,https://api.spotify.com/v1/tracks/4LiZFhponIS7BTvw8WsYRJ,https://api.spotify.com/v1/audio-analysis/4LiZFhponIS7BTvw8WsYRJ,243960,4,club
0.833,0.879,1,-4.218,0,0.223,0.0704,0,0.0829,0.913,186.027,audio_features,0D0oS579qeUtqNH3J3GypS,spotify:track:0D0oS579qeUtqNH3J3GypS,https://api.spotify.com/v1/tracks/0D0oS579qeUtqNH3J3GypS,https://api.spotify.com/v1/audio-analysis/0D0oS579qeUtqNH3J3GypS,205930,4,club
0.734,0.746,11,-5.088,1,0.0762,0.00135,0,0.178,0.539,94.033,audio_features,3ZwCiJr65RovmNkjj62IOi,spotify:track:3ZwCiJr65RovmNkjj62IOi,https://api.spotify.com/v1/tracks/3ZwCiJr65RovmNkjj62IOi,https://api.spotify.com/v1/audio-analysis/3ZwCiJr65RovmNkjj62IOi,197627,4,club
0.706,0.843,11,-2.436,0,0.0722,0.00176,0,0.317,0.635,141.98,audio_features,6yOGrvkrcv5SbgzMkox2p8,spotify:track:6yOGrvkrcv5SbgzMkox2p8,https://api.spotify.com/v1/tracks/6yOGrvkrcv5SbgzMkox2p8,https://api.spotify.com/v1/audio-analysis/6yOGrvkrcv5SbgzMkox2p8,264760,4,club
0.421,0.547,0,-8.974,0,0.266,0.211,0,0.242,0.347,160.54,audio_features,0TiC3GtlMCskf2hIUIBcDV,spotify:track:0TiC3GtlMCskf2hIUIBcDV,https://api.spotify.com/v1/tracks/0TiC3GtlMCskf2hIUIBcDV,https://api.spotify.com/v1/audio-analysis/0TiC3GtlMCskf2hIUIBcDV,208813,4,club
0.771,0.963,2,-2.149,0,0.0394,0.0235,0.479,0.643,0.777,127.962,audio_features,2Sqpy3EmS5clnjgHXd7mlT,spotify:track:2Sqpy3EmS5clnjgHXd7mlT,https://api.spotify.com/v1/tracks/2Sqpy3EmS5clnjgHXd7mlT,https://api.spotify.com/v1/audio-analysis/2Sqpy3EmS5clnjgHXd7mlT,222099,4,club
