danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,audio_features,34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,281560,4
0.717,0.499,5,-7.123,1,0.0478,0.499,0,0.071,0.541,81.995,audio_features,6WNqOfvfqmbyCk23ejRBwO,spotify:track:6WNqOfvfqmbyCk23ejRBwO,https://api.spotify.com/v1/tracks/6WNqOfvfqmbyCk23ejRBwO,https://api.spotify.com/v1/audio-analysis/6WNqOfvfqmbyCk23ejRBwO,222329,4
0.431,0.81,7,-6.051,1,0.0958,0.299,0,0.249,0.674,110.118,audio_features,0LH5xRQz5D36FpIkYUFv2e,spotify:track:0LH5xRQz5D36FpIkYUFv2e,https://api.spotify.com/v1/tracks/0LH5xRQz5D36FpIkYUFv2e,https://api.spotify.com/v1/audio-analysis/0LH5xRQz5D36FpIkYUFv2e,205800,4
0.685,0.474,0,-9.105,1,0.0313,0.779,0.00000123,0.149,0.36,79.991,audio_features,1jdNcAD8Ir58RlsdGjJJdx,spotify:track:1jdNcAD8Ir58RlsdGjJJdx,https://api.spotify.com/v1/tracks/1jdNcAD8Ir58RlsdGjJJdx,https://api.spotify.com/v1/audio-analysis/1jdNcAD8Ir58RlsdGjJJdx,161227,4
0.473,0.789,1,-5.171,1,0.0336,0.0263,0,0.132,0.394,103.225,audio_features,2ihCaVdNZmnHZWt0fvAM7B,spotify:track:2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/tracks/2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/audio-analysis/2ihCaVdNZmnHZWt0fvAM7B,266600,4
0.485,0.619,5,-7.115,0,0.0289,0.0941,0.00000331,0.109,0.416,138.017,audio_features,1mea3bSkSGXuIRvnydlB5b,spotify:track:1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/audio-analysis/1mea3bSkSGXuIRvnydlB5b,242373,4
0.857,0.517,0,-6.972,1,0.0384,0.565,0.000195,0.102,0.754,129.063,audio_features,4wCmqSrbyCgxEXROQE6vtV,spotify:track:4wCmqSrbyCgxEXROQE6vtV,https://api.spotify.com/v1/tracks/4wCmqSrbyCgxEXROQE6vtV,https://api.spotify.com/v1/audio-analysis/4wCmqSrbyCgxEXROQE6vtV,244973,4
0.449,0.585,5,-6.762,1,0.0268,0.0522,0.0000849,0.0833,0.203,139.627,audio_features,6nek1Nin9q48AVZcWs9e9D,spotify:track:6nek1Nin9q48AVZcWs9e9D,https://api.spotify.com/v1/tracks/6nek1Nin9q48AVZcWs9e9D,https://api.spotify.com/v1/audio-analysis/6nek1Nin9q48AVZcWs9e9D,278719,4
0.476,0.918,8,-3.988,1,0.0616,0.00895,0,0.292,0.717,154.897,audio_features,5JGxJFdgOQdJZdmyEzDtTj,spotify:track:5JGxJFdgOQdJZdmyEzDtTj,https://api.spotify.com/v1/tracks/5JGxJFdgOQdJZdmyEzDtTj,https://api.spotify.com/v1/audio-analysis/5JGxJFdgOQdJZdmyEzDtTj,179387,4
0.577,0.749,5,-7.215,0,0.0279,0.599,0.0112,0.183,0.261,130.969,audio_features,0BCPKOYdS2jbQ8iyB56Zns,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/tracks/0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/audio-analysis/0BCPKOYdS2jbQ8iyB56Zns,307880,4
